coursecode,coursename,gsc,credits,tag,crn,avail_seats,max_seats,time,day,location,instructor,notes
ARTD 250,Print Media Digit Arts,,4.00 cr.,+ Lab,10665,0,20,1600-1750,mw,101A MCK,tba,Ab
CFT 607,Sem Clinical Therapy,,1.00-4.00 cr.,,11241,5,5,tba,tba,tba,STAFF,M
GEOL 420,Geocommunication,,3.00 cr.,,12611,25,25,1400-1520,mw,30 PAC,Sutherland D,
ARCH 605,Read Portland,,1.00-6.00 cr.,,10509,15,15,tba,tba,tba,STAFF,p
GEOG 601,Research,,1.00-16.00 cr.,,12548,10,10,tba,tba,tba,STAFF,
BI 610,Adv Cellular Neurosci,,4.00 cr.,,11196,12,14,1400-1520,tr,317 HUE,Lockery S,
BI 425,Adv Molec Bio Res Lab,,5.00 cr.,,16179,4,10,1200-1550,tr,33 KLA,Barkan A,!$
BI 457,Top Marine Envir Iss,,5.00 cr.,,11102,5,22,0830-1650,r,OIMB,Hodder J,!$f
FIN 316,Financial Management,,4.00 cr.,,12357,26,100,1000-1150,tr,211 LIL,Sheen A,AMY
CRWR 601,Research,,1.00-16.00 cr.,,11744,24,25,tba,tba,tba,STAFF,Ma
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,Lecture,12563,85,196,1000-1120,tr,123 PAC,Johnston D,Y
HPHY 409,Prac Evid Inf Bio TA,,1.00-3.00 cr.,,12953,15,15,tba,tba,tba,tba,
ART 198,Top Illustrator,,1.00 cr.,,10614,12,18,1800-2150,mw 10/03-10/05,283M LA,Hall C,$AVP
CPSY 406,Special Problems,,1.00-5.00 cr.,,11675,10,10,tba,tba,tba,STAFF,
GEOL 572,Aqueous Min Gas Equil,,4.00 cr.,,16003,11,15,1000-1120,tr,202 CAS,Reed M,!
BI 121,Intro Human Physiology,3,4.00 cr.,Lecture,10927,44,181,0830-0950,tr,100 WIL,Lombardi P,$e
AAD 604,Intern III,,1.00 cr.,,10086,17,25,1000-1150,w,249 LA,Grieger K,M
ARCH 584,Arch Design,,6.00 cr.,,10488,94,100,1300-1650,mwf,TBA,tba,!$M
CHN 399,Sp St Capstone Prep,,4.00 cr.,,11474,5,10,1000-1120,tr,345 MCK,Chen W,!
GEOG 208,Geog US & Canada,2 AC,4.00 cr.,+ Dis,16445,11,18,1400-1450,t,106 CON,tba,
BI 401,Res Devel Genetics,,1.00-16.00 cr.,,11032,9,10,tba,tba,tba,Bowerman B,
GEOG 181,Our Digital Earth,2,4.00 cr.,+ Lab,12482,19,25,0900-0950,r,442 MCK,tba,
CRES 611,Terminal Project,,1.00-9.00 cr.,,11723,24,24,tba,tba,tba,STAFF,M
GEOL 318,Intro Field Methods,,3.00 cr.,,12595,8,20,1300-1650,f,47 COL,Dorsey R,!MPV
BI 213,Gen Biol III: Populat,3,4.00 cr.,+ Lab,10976,3,18,1000-1150,r,112 HUE,Wetherwax P,a
ARTO 601,Research,,1.00-12.00 cr.,,10767,10,10,tba,tba,tba,STAFF,$
BI 607,Sem Genome Function,,1.00 cr.,,11183,20,20,1600-1650,r,225 SGR,Selker E,
GEOG 485,Remote Sensing I,,4.00 cr.,+ Lab,16457,13,20,1000-1150,m,442 MCK,tba,
BA 101,Intro to Business,2,4.00 cr.,,10867,270,283,1600-1750,tr,182 LIL,Engel S,AG
GER 221,Postwar Germany,1 IC,4.00 cr.,+ Dis,12661,15,18,1200-1250,f,221 FR,tba,K
INTL 260,Cul| Capital| & Global,2 IC,4.00 cr.,Lecture,13054,120,186,1200-1320,mw,123 GSH,Kennedy G,U
ARCH 584,Arch Design,,6.00 cr.,,10497,57,60,1300-1650,mwf,WSB,STAFF,!$Mp
GER 360,Poetry| Plays| & Prose,1,4.00 cr.,,15988,12,20,1200-1320,mw,125 LLCN,Librett J,!
ARTD 410,Imaging the City,,4.00 cr.,,16996,18,18,1500-1650,tr,WSB,Hickman C,!$AM
FHS 494,Sr Profess Prac/Iss,,3.00 cr.,,12294,28,120,1400-1450,t,240C MCK,tba,!M
ARCH 484,Arch Design,,6.00 cr.,,10436,17,17,1300-1650,mwf,TBA,tba,!$M
ENG 260,Media Aesthetics,,4.00 cr.,,12082,0,12,1000-1150,tr,117 FEN,tba,tM
EDST 458,Observ: Equal Opp I,,1.00 cr.,,16840,2,25,tba,tba,tba,Raza N,!$Mh
ARTC 601,Research,,1.00-12.00 cr.,,10655,10,10,tba,tba,tba,STAFF,$
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12259,0,10,1600-1650,t,193 ANS,Cronce J,M
ARCH 470,Building Construction,,4.00 cr.,Lecture,10419,5,80,0830-0950,tr,177 LA,Moore E,!M
ARTF 601,Research,,1.00-12.00 cr.,,10726,10,10,tba,tba,tba,STAFF,$
AFR 401,Research,,1.00-12.00 cr.,,10195,10,10,tba,tba,tba,STAFF,
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,+ Lab,10238,11,15,1100-1150,f,368 CON,tba,
CFT 609,Prac Advanced,,4.00 cr.,,11245,2,8,1600-1850,w,CFT,Linville-Knobelspiesse D,M
BA 318,Fin: Valu thru Capital,,4.00 cr.,,10898,0,90,tba,,WEB,Bauer D,!ANd
BI 401,Res Appl Theoretic Eco,,1.00-16.00 cr.,,11064,10,10,tba,tba,tba,Green J,
CH 401,Res Theo Physical Chem,,1.00-16.00 cr.,,11342,2,2,tba,tba,tba,Cina J,k
EDUC 612,Social Sci Res Design,,4.00 cr.,,12045,23,25,1300-1650,t,142 HED,Skowron E,L
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12153,21,22,0800-0850,f,119 FEN,tba,A
CFT 401,Research,,1.00-5.00 cr.,,11238,5,5,tba,tba,tba,STAFF,
FHS 401,Research,,1.00-5.00 cr.,,12242,25,25,tba,tba,tba,STAFF,
GEOG 494,Spatial Analysis,,4.00 cr.,+ Lab,16769,18,20,1400-1550,w,442 MCK,tba,
GEOL 601,Research,,1.00-16.00 cr.,,12629,25,25,tba,tba,tba,STAFF,M
IARC 409,Practicum,,3.00-4.00 cr.,,13007,5,5,tba,tba,tba,Poticha O,
ANTH 163,Origin of Storytelling,3 IC,4.00 cr.,+ Dis,10226,0,15,1000-1050,m,204 CON,tba,
CIS 404,Internship,,1.00-4.00 cr.,,11565,14,15,tba,tba,tba,STAFF,!
DAN 294,Modern Dance Lab,,3.00 cr.,,11758,28,35,1000-1150,mwf,352 GRX,Honka R,!$a
DAN 508,Wrk Rehearsal & Perf,,1.00-3.00 cr.,,11789,25,25,1600-1750,mtwrf,353 GRX,Craig J,!b
EC 603,Dissertation,,1.00-16.00 cr.,,11949,10,10,tba,tba,tba,STAFF,
ENG 105,Intro Lit: Drama,1,4.00 cr.,,12055,0,12,1300-1350,mwf,191 ANS,Wonham H,
ARTR 245,Intro to Printmaking,,4.00 cr.,,10802,3,16,0800-1050,mw,156 LA,Moore J,!$ABM
ANTH 342,Arch Egypt & Near East,2 IC,4.00 cr.,+ Dis,16114,14,19,1200-1250,w,204 CON,tba,
HBRW 409,Practicum,,1.00-12.00 cr.,,12706,5,5,tba,tba,tba,STAFF,
FHS 407,Sem Intl Cultural Serv,,2.00 cr.,,12252,10,12,1700-1850,t,193 ANS,Schafermeyer A,
GEOG 401,Research,,1.00-21.00 cr.,,12501,10,10,tba,tba,tba,STAFF,
FIN 605,Reading,,1.00-12.00 cr.,,12380,20,20,tba,tba,tba,STAFF,p
AIM 668,Info Systems & Mgmt,,3.00 cr.,,16573,20,20,tba,9/05-10/21,WEB,Brown K,!$PTWV
ARTO 409,Term Creative Proj BFA,,1.00-12.00 cr.,,10761,10,10,tba,tba,tba,STAFF,$
HPHY 333,Motor Control,,4.00 cr.,+ Lab,12921,0,16,1000-1150,t,075B KLA,tba,M
GEOG 323,Biogeography,3,4.00 cr.,+ Lab,12497,4,22,1200-1250,w,206 CON,tba,
BI 214,Gen Bio IV: Mechanisms,3,4.00 cr.,+ Lab,10985,16,27,0800-1050,r,13 KLA,Kelly A,b
FHS 407,Sem Svc Learn Theory,,2.00 cr.,,16643,25,25,1600-1750,t,176 ED,Belcher D,h
HPHY 322,Human Physiology I,,5.00 cr.,Lecture,12896,38,312,1000-1120,tr,156 STB,Mattox K,!$d
CIS 415,Operating Systems,,4.00 cr.,+ Dis,11581,12,25,1600-1650,f,026 KLA,tba,
GEOG 141,Natural Environment,3,4.00 cr.,+ Dis,12470,11,22,1100-1150,f,206 CON,tba,
ARCH 601,Res Ptld Urb Arch Lab,,2.00-4.00 cr.,,10505,10,10,1200-1250,r,WSB,Neis H,p
FHS 328,Theo Family Systems,,4.00 cr.,,12238,40,125,1000-1150,tr,250 CLS,Walters K,!M
HIST 379,Am Env Hist| 1890-Pres,2 AC,4.00 cr.,,16429,1,35,1200-1320,tr,189 PLC,Weisiger M,
ARCH 450,Spatial Composition,,4.00 cr.,+ Dis,10407,7,17,1730-1820,w,279 LA,tba,M
IARC 592,Electric Lighting,,3.00 cr.,,13026,0,14,1800-1920,tr,206 LA,Cartwright V,!M
ARTO 406,Special Problems,,1.00-8.00 cr.,,10759,19,20,tba,tba,tba,STAFF,$
ARCH 584,Arch Design,,6.00 cr.,,10498,17,17,1830-2120,t,WSB,tba,!$Mp
CH 401,Res Photochem/Polymers,,1.00-16.00 cr.,,11355,3,3,tba,tba,tba,Tyler D,k
BI 601,Res Ecosystems,,1.00-16.00 cr.,,11155,5,5,tba,tba,tba,Bridgham S,
ANTH 472,Primate Conserv Biol,,4.00 cr.,,16371,6,20,1500-1620,tr,330 CON,Ting N,!
ARCH 450,Spatial Composition,,4.00 cr.,Lecture,10402,7,85,1200-1320,tr,177 LA,tba,!M
CLAS 110,Classical Mythology,1 IP,4.00 cr.,+ Dis,11623,0,25,1200-1250,r,301 DEA,Groeschl A,
ES 301,Theoret Persp Ethn St,,4.00 cr.,,12221,16,30,1400-1520,mw,111 ALDR,Hames-Garcia M,!
ARCH 435,Princ Urban Design,,4.00 cr.,,10395,0,5,0900-1150,w,WSB,Gast G,!Mp
CIS 110,Fluency with Info Tech,3,4.00 cr.,+ Lab,11514,29,32,0800-0850,r,026 KLA,tba,
HPHY 404,Internship,,1.00-15.00 cr.,,12932,25,25,tba,tba,tba,STAFF,M
INTL 240,Persp Intl Development,2 IC,4.00 cr.,+ Dis,13046,20,28,1000-1050,f,117 GSH,tba,U
ASIA 409,Practicum,,1.00-16.00 cr.,,10844,5,5,tba,tba,tba,STAFF,
ARTP 609,Term Creative Proj MFA,,1.00-12.00 cr.,,10797,50,50,tba,tba,tba,STAFF,$
CIS 503,Thesis,,1.00-16.00 cr.,,11588,10,10,tba,tba,tba,STAFF,
AAD 410,Performing Arts Indust,,4.00 cr.,,10067,11,15,0800-0950,mw,189 PLC,Kau D,
CPSY 626,Psycholog Serv Latinos,,2.00 cr.,,16095,8,12,1500-1650,w,230T HED,tba,
